Technique,Width,Amplitude,Time,Correct
TouchPad, 0.4, 1, 642, True
TouchPad, 0.4, 1, 831, True
TouchPad, 0.4, 1, 628, True
TouchPad, 0.4, 1, 759, True
TouchPad, 0.4, 1, 751, True
TouchPad, 0.4, 1, 657, True
TouchPad, 0.6, 1, 670, True
TouchPad, 0.6, 1, 565, True
TouchPad, 0.6, 1, 601, True
TouchPad, 0.6, 1, 583, True
TouchPad, 0.6, 1, 556, True
TouchPad, 0.6, 1, 624, True
TouchPad, 0.6, 1, 624, True
TouchPad, 0.6, 1, 575, True
TouchPad, 0.6, 1, 613, True
TouchPad, 0.2, 2, 918, True
TouchPad, 0.2, 2, 768, True
TouchPad, 0.2, 2, 989, True
TouchPad, 0.2, 2, 1217, True
TouchPad, 0.2, 2, 1043, True
TouchPad, 0.2, 2, 978, True
TouchPad, 0.2, 2, 812, True
TouchPad, 0.2, 2, 1018, True
TouchPad, 0.2, 2, 949, True
TouchPad, 0.4, 2, 685, True
TouchPad, 0.4, 2, 631, True
TouchPad, 0.4, 2, 673, True
TouchPad, 0.4, 2, 961, True
TouchPad, 0.4, 2, 724, True
TouchPad, 0.4, 2, 593, True
TouchPad, 0.4, 2, 679, True
TouchPad, 0.4, 2, 739, True
TouchPad, 0.4, 2, 577, True
TouchPad, 0.6, 3, 647, True
TouchPad, 0.6, 3, 605, True
TouchPad, 0.6, 3, 627, True
TouchPad, 0.6, 3, 722, True
TouchPad, 0.6, 3, 627, True
TouchPad, 0.6, 3, 611, True
TouchPad, 0.6, 3, 643, True
TouchPad, 0.6, 3, 664, True
TouchPad, 0.6, 3, 642, True
TouchPad, 0.6, 2, 647, True
TouchPad, 0.6, 2, 655, True
TouchPad, 0.6, 2, 756, True
TouchPad, 0.6, 2, 618, True
TouchPad, 0.6, 2, 705, True
TouchPad, 0.6, 2, 567, True
TouchPad, 0.6, 2, 782, True
TouchPad, 0.6, 2, 648, True
TouchPad, 0.6, 2, 669, True
TouchPad, 0.2, 3, 944, True
TouchPad, 0.2, 3, 991, True
TouchPad, 0.2, 3, 707, True
TouchPad, 0.2, 3, 933, True
TouchPad, 0.2, 3, 1030, True
TouchPad, 0.2, 3, 858, True
TouchPad, 0.2, 3, 981, True
TouchPad, 0.2, 3, 996, True
TouchPad, 0.2, 3, 848, True
TouchPad, 0.4, 3, 915, True
TouchPad, 0.4, 3, 686, True
TouchPad, 0.4, 3, 536, True
TouchPad, 0.4, 3, 649, True
TouchPad, 0.4, 3, 748, True
TouchPad, 0.4, 3, 745, True
TouchPad, 0.4, 3, 868, True
TouchPad, 0.4, 3, 704, True
TouchPad, 0.4, 3, 645, True
